id,name,rating,number_of_rooms,available_rooms,price_per_night,amenities,description,place_id
945,Block LLC,2,100,1,21795,arcu libero rutrum ac lobortis vel,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",917
946,"Gutmann, Legros and Runolfsdottir",4,71,4,25170,quis justo maecenas rhoncus aliquam lacus morbi quis,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",433
947,Schmitt Group,1,63,4,93567,varius ut blandit non interdum in,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",152
948,Robel Group,3,64,2,81199,curae nulla dapibus dolor vel est donec,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",933
949,Hickle-Cassin,5,63,1,61494,dolor sit amet consectetuer adipiscing elit,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",460
950,Strosin-Bechtelar,2,64,1,95386,id nulla ultrices aliquet maecenas,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",15
951,"Bins, Gleichner and Ruecker",5,59,4,62665,turpis integer aliquet massa id,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",912
952,"Beer, Mertz and Connelly",3,51,2,8500,duis bibendum felis sed interdum venenatis,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",345
953,Rice and Sons,1,39,4,81583,nunc purus phasellus in felis donec semper,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",139
954,"Rippin, Wunsch and Gerlach",4,82,2,20189,mauris morbi non lectus aliquam sit amet diam,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",664
955,Waters-Huel,5,95,1,53234,luctus et ultrices posuere cubilia,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,251
956,Skiles-Witting,4,73,1,57330,et magnis dis parturient montes nascetur ridiculus mus,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,872
957,"Jaskolski, Konopelski and Zboncak",3,97,2,51635,metus aenean fermentum donec ut mauris eget massa,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",127
958,"Mayert, Muller and Mueller",3,69,1,65546,in libero ut massa volutpat convallis,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",940
959,"Corkery, Kutch and Turner",1,21,1,66903,dui luctus rutrum nulla tellus in,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",874
960,Adams Group,1,72,1,29156,vestibulum sagittis sapien cum sociis natoque penatibus,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",848
961,Stark Group,5,69,4,72631,interdum venenatis turpis enim blandit mi in porttitor,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",105
962,"Marquardt, Monahan and Kuhlman",2,59,1,24255,nibh in hac habitasse platea,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",862
963,Leuschke and Sons,1,51,2,38110,eget vulputate ut ultrices vel augue vestibulum ante,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,558
964,"Blick, Boyle and Romaguera",1,26,4,36245,est congue elementum in hac,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",734
965,"Halvorson, Stanton and Koepp",3,33,2,15767,lectus suspendisse potenti in eleifend quam a,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",772
966,"Bartoletti, Huels and Turner",5,70,4,62038,vestibulum quam sapien varius ut blandit,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",889
967,Corkery-Hintz,4,90,3,70828,est lacinia nisi venenatis tristique fusce,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",329
968,Schmeler-Sanford,2,62,5,42299,eu sapien cursus vestibulum proin eu,Phasellus in felis. Donec semper sapien a libero. Nam dui.,630
969,Deckow-Langosh,2,42,3,66356,elit proin risus praesent lectus,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",274
970,Howell-Hermann,2,36,2,8109,mauris morbi non lectus aliquam sit amet,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",12
971,"Wiegand, Conroy and Conroy",2,61,1,43783,sit amet eleifend pede libero,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",654
972,"Becker, Crona and Romaguera",1,68,1,98394,lacus morbi sem mauris laoreet,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",261
973,"Grant, Trantow and O'Kon",4,38,4,99755,leo rhoncus sed vestibulum sit amet cursus,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",613
974,Gorczany-Fritsch,4,46,1,56672,est congue elementum in hac habitasse platea,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,622
975,"Kutch, Luettgen and Baumbach",1,51,1,8216,vivamus vestibulum sagittis sapien cum sociis,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",120
976,Lueilwitz and Sons,5,67,4,85825,pede posuere nonummy integer non,Fusce consequat. Nulla nisl. Nunc nisl.,168
977,Pfeffer-Kris,3,49,1,49644,ultricies eu nibh quisque id justo sit amet,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",722
978,Bashirian Inc,4,58,3,56549,vehicula consequat morbi a ipsum,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",971
979,Armstrong-Parisian,3,68,1,66387,diam vitae quam suspendisse potenti nullam porttitor lacus,Phasellus in felis. Donec semper sapien a libero. Nam dui.,321
980,Beahan Inc,3,68,4,23187,turpis elementum ligula vehicula consequat morbi a,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",82
981,"Waelchi, Lockman and Koch",2,73,2,2138,suspendisse potenti in eleifend quam a odio in,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",48
982,Beer-Simonis,3,90,3,2,vehicula condimentum curabitur in libero ut,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",163
983,"Kirlin, Abbott and Torphy",2,71,2,97667,sit amet lobortis sapien sapien non mi integer,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",81
984,"Oberbrunner, Hand and Franecki",4,71,2,69117,amet erat nulla tempus vivamus in,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",109
985,"McClure, Friesen and Towne",1,85,2,88232,rhoncus aliquet pulvinar sed nisl nunc,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",768
986,Rice-Conn,3,22,5,42729,elit ac nulla sed vel enim,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",143
987,"Nader, Adams and Gislason",2,58,5,41322,orci mauris lacinia sapien quis libero nullam,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",250
988,"Douglas, Jast and Gerlach",5,90,5,1176,vivamus tortor duis mattis egestas metus aenean fermentum,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,245
989,"Kilback, Spencer and Gutmann",3,20,2,3367,amet consectetuer adipiscing elit proin risus praesent lectus,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",869
990,Schumm-Keeling,5,83,5,66237,diam vitae quam suspendisse potenti nullam,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",815
991,"Goodwin, Rice and Stehr",3,60,1,31709,cubilia curae nulla dapibus dolor vel,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,967
992,"Medhurst, Breitenberg and Kirlin",4,95,2,29603,quam sollicitudin vitae consectetuer eget,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",951
993,Boyer LLC,3,33,1,75959,eu nibh quisque id justo sit amet sapien,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",356
994,Feeney-Weber,4,85,4,42092,molestie sed justo pellentesque viverra pede ac,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",5
995,"Stanton, Corwin and Feil",5,62,3,4756,vel accumsan tellus nisi eu orci mauris,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",35
996,"Kessler, Runolfsson and Abernathy",5,74,2,85498,viverra diam vitae quam suspendisse potenti,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",550
997,Heller LLC,2,70,2,43787,ipsum praesent blandit lacinia erat vestibulum sed,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",202
